arm,arm_label,seed,class_id,class_name,support,precision,class_wise_accuracy_recall,f1,source_result_sha256
training_only_calibration,Training-only calibration,1,2,DoS Hulk,46215,0.8022512452445386,0.885210429514227,0.8416916129164995,7f27b3302e659aded0ae0cdedddbf2b81061dd6f2aaf727f84a48a27bbc80e1b
training_only_calibration,Training-only calibration,1,3,DoS Slowhttptest,1100,0.2736655853730463,0.8436363636363636,0.413270986417279,7f27b3302e659aded0ae0cdedddbf2b81061dd6f2aaf727f84a48a27bbc80e1b
training_only_calibration,Training-only calibration,1,4,DoS slowloris,1159,0.707631318136769,0.6160483175150993,0.6586715867158671,7f27b3302e659aded0ae0cdedddbf2b81061dd6f2aaf727f84a48a27bbc80e1b
training_only_calibration,Training-only calibration,1,5,FTP-Patator,1588,0.16703921967079863,0.517632241813602,0.252573359963128,7f27b3302e659aded0ae0cdedddbf2b81061dd6f2aaf727f84a48a27bbc80e1b
training_only_calibration,Training-only calibration,1,6,Heartbleed,2,0.09090909090909091,1.0,0.16666666666666669,7f27b3302e659aded0ae0cdedddbf2b81061dd6f2aaf727f84a48a27bbc80e1b
training_only_calibration,Training-only calibration,1,7,SSH-Patator,1179,0.03294085924860687,0.6217133163698049,0.06256668516068456,7f27b3302e659aded0ae0cdedddbf2b81061dd6f2aaf727f84a48a27bbc80e1b
training_only_calibration,Training-only calibration,2,0,Benign,174421,0.9836179453569077,0.9335745122433652,0.9579431005271085,2eaf007d786c7813f4f86026452486e2e4310f818a571011dce57a2368cf1694
training_only_calibration,Training-only calibration,2,1,DoS GoldenEye,2059,0.8950644730991552,0.9776590577950461,0.934540389972145,2eaf007d786c7813f4f86026452486e2e4310f818a571011dce57a2368cf1694
training_only_calibration,Training-only calibration,2,2,DoS Hulk,46215,0.8402338223248195,0.9766093259764146,0.9033032792626914,2eaf007d786c7813f4f86026452486e2e4310f818a571011dce57a2368cf1694
training_only_calibration,Training-only calibration,2,3,DoS Slowhttptest,1100,0.5210312075983717,0.6981818181818182,0.5967365967365968,2eaf007d786c7813f4f86026452486e2e4310f818a571011dce57a2368cf1694
training_only_calibration,Training-only calibration,2,4,DoS slowloris,1159,0.3669590643274854,0.6496980155306299,0.46901276860791036,2eaf007d786c7813f4f86026452486e2e4310f818a571011dce57a2368cf1694
training_only_calibration,Training-only calibration,2,5,FTP-Patator,1588,0.6274509803921569,0.947103274559194,0.7548306148055207,2eaf007d786c7813f4f86026452486e2e4310f818a571011dce57a2368cf1694
